src,dst,sport,dport,proto,duration,pkt_count,total_bytes,throughput_bps,avg_pkt,min_pkt,max_pkt,median_pkt,mean_iat,std_iat,up_down_ratio,app_proto
192.168.29.189,23.33.244.239,51472,443,IP,0.11472916603088379,8,2268,158146.36005560993,283.5,0,1318,0.0,0.016389880861554827,0.016162251135977898,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.011924028396606445,8,6055,4062385.4949713075,756.875,0,1494,0.0,0.001703432628086635,0.003060340264987024,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.017081022262573242,8,3934,1842512.6737852965,491.75,0,1494,0.0,0.0024401460375104633,0.004631666699759775,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.076171875,8,3135,329255.3846153846,391.875,0,1494,0.0,0.010881696428571428,0.018647514830386302,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.0002999305725097656,8,9938,265074678.23211446,1242.25,0,1494,0.0,4.2847224644252234e-05,0.00010495383727282245,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.08663201332092285,8,4860,448794.83356771915,607.5,0,1494,0.0,0.012376001902988978,0.024635500126917936,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.17653679847717285,8,5665,256717.01532448555,708.125,0,1494,0.0,0.02521954263959612,0.05611164473791526,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.03350210189819336,8,4327,1033248.6034814045,540.875,0,1292,0.0,0.004786014556884766,0.006917207638173014,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.00011396408081054688,8,10336,725561943.832636,1292.0,0,1292,0.0,1.628058297293527e-05,8.710256203613569e-07,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.00013208389282226562,8,10336,626026370.3104693,1292.0,0,1292,0.0,1.8869127546037945e-05,2.9378425942622357e-06,1.0,HTTPS
